scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes	Citations for information on species
Atlides halesus	Atlides	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	777807	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/59128-Atlides-halesus		
Callophrys henrici	Callophrys	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	777852	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/127303-Callophrys-henrici		
Callophrys niphon	Callophrys	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	188504	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/58550-Callophrys-niphon		
Eumaeus toxea	Eumaeus	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	777805	N	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/148489-Eumaeus-toxea		
Satyrium calanus	Satyrium	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	777819	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/58539-Satyrium-calanus		
Satyrium edwardsii	Satyrium	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	777818	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81566-Satyrium-edwardsii		
Satyrium favonius ontario	Satyrium	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	778714	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/238386-Satyrium-favonius-ontario		
Asterocampa celtis	Asterocampa	NA	Apaturinae	Nymphalidae	Papilionoidea	778004	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/68264-Asterocampa-celtis		
Asterocampa celtis celtis	Asterocampa	NA	Apaturinae	Nymphalidae	Papilionoidea	779234	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/234514-Asterocampa-celtis-celtis		
Asterocampa clyton	Asterocampa	NA	Apaturinae	Nymphalidae	Papilionoidea	778006	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/58587-Asterocampa-clyton		
Anaea aidea	Anaea	Anaeini	Charaxinae	Nymphalidae	Papilionoidea	778099	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/148810-Anaea-aidea		
Danaus gilippus	Danaus	Danaini	Danainae	Nymphalidae	Papilionoidea	777963	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/51743-Danaus-gilippus		
Danaus plexippus	Danaus	Danaini	Danainae	Nymphalidae	Papilionoidea	117273	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/48662-Danaus-plexippus		
Agraulis vanillae	Agraulis	Heliconiini	Heliconiinae	Nymphalidae	Papilionoidea	777975	N	Y	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/49150-Agraulis-vanillae		
Euptoieta claudia	Euptoieta	Argynnini	Heliconiinae	Nymphalidae	Papilionoidea	777981	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/68244-Euptoieta-claudia		
Heliconius charithonia	Heliconius	Heliconiini	Heliconiinae	Nymphalidae	Papilionoidea	777979	N	Y	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/49766-Heliconius-charithonia		
Speyeria cybele	Speyeria	Argynnini	Heliconiinae	Nymphalidae	Papilionoidea	777991	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/47980-Speyeria-cybele		
Limenitis archippus	Limenitis	Limenitidini	Limenitidinae	Nymphalidae	Papilionoidea	777969	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/58586-Limenitis-archippus		
Limenitis arthemis astyanax	Limenitis	Limenitidini	Limenitidinae	Nymphalidae	Papilionoidea	779032	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/58585-Limenitis-arthemis-astyanax		
Morpho polyphemus	Morpho	Morphini	Morphinae	Nymphalidae	Papilionoidea	778104	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/196878-Morpho-polyphemus		
Aglais milberti	Aglais	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	778038	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/68269-Aglais-milberti		
Chlosyne gorgone	Chlosyne	Melitaeini	Nymphalinae	Nymphalidae	Papilionoidea	778071	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/186842-Chlosyne-gorgone		
Chlosyne harrisii	Chlosyne	Melitaeini	Nymphalinae	Nymphalidae	Papilionoidea	188582	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/58575-Chlosyne-harrisii		
Chlosyne janais	Chlosyne	Melitaeini	Nymphalinae	Nymphalidae	Papilionoidea	778060	N	Y	N	N		Y	N	Y	https://www.inaturalist.org/taxa/132330-Chlosyne-janais		
Chlosyne lacinia	Chlosyne	Melitaeini	Nymphalinae	Nymphalidae	Papilionoidea	778073	N	Y	N	N		Y	N	Y	https://www.inaturalist.org/taxa/68240-Chlosyne-lacinia		
Chlosyne nycteis	Chlosyne	Melitaeini	Nymphalinae	Nymphalidae	Papilionoidea	778070	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/62978-Chlosyne-nycteis		
Euphydryas phaeton	Euphydryas	Melitaeini	Nymphalinae	Nymphalidae	Papilionoidea	778057	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/58578-Euphydryas-phaeton		
Junonia coenia	Junonia	Junoniini	Nymphalinae	Nymphalidae	Papilionoidea	778049	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/48505-Junonia-coenia		
Nymphalis antiopa	Nymphalis	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	188597	N	Y	N	N		Y	Y	Y	https://www.inaturalist.org/taxa/56832-Nymphalis-antiopa		
Nymphalis l-album	Nymphalis	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	778039	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/198813-Nymphalis-l-album		
Polygonia comma	Polygonia	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	778042	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/54064-Polygonia-comma		
Polygonia interrogationis	Polygonia	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	778041	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/58579-Polygonia-interrogationis		
Vanessa atalanta	Vanessa	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	188599	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/49133-Vanessa-atalanta		
Vanessa virginiensis	Vanessa	Nymphalini	Nymphalinae	Nymphalidae	Papilionoidea	188600	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/48549-Vanessa-virginiensis		
Lethe appalachia leeuwi	Lethe	Satyrini	Satyrinae	Nymphalidae	Papilionoidea	779474	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/236682-Lethe-appalachia-leeuwi	Couldn't find a reliable image of a caterpillar	
Battus philenor	Battus	Troidini	Papilioninae	Papilionidae	Papilionoidea	777692	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/49972-Battus-philenor		
Battus philenor philenor	Battus	Troidini	Papilioninae	Papilionidae	Papilionoidea	778405	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/198798-Battus-philenor-philenor		
Eurytides marcellus	Eurytides	Leptocircini	Papilioninae	Papilionidae	Papilionoidea	777694	N	N	N	N	N	Y	N	N	https://www.inaturalist.org/taxa/83086-Eurytides-marcellus		
Papilio brevicauda	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	188546	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/154436-Papilio-brevicauda		
Papilio canadensis	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	777710	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/57463-Papilio-canadensis		
Papilio cresphontes	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	777702	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/50072-Papilio-cresphontes	very cool osmeterium	
Papilio garamas	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	777716	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/509480-Papilio-garamas		
Papilio glaucus	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	188547	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/60551-Papilio-glaucus		
Papilio polyxenes	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	188543	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/58523-Papilio-polyxenes		
Papilio polyxenes asterius	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	188544	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/54900-Papilio-polyxenes-asterius		
Papilio rogeri pharnaces	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	778439	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/509650-Papilio-rogeri-pharnaces		
Papilio troilus	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	777719	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/58525-Papilio-troilus		
Papilio victorinus victorinus	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	778445	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/146843-Papilio-victorinus-victorinus		
Abaeis nicippe	Abaeis	NA	Coliadinae	Pieridae	Papilionoidea	777729	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81727-Abaeis-nicippe		
Phoebis philea	Phoebis	NA	Coliadinae	Pieridae	Papilionoidea	777753	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/133416-Phoebis-philea		
Phoebis sennae	Phoebis	NA	Coliadinae	Pieridae	Papilionoidea	777750	N	Y	N	Y		Y	N	N	https://www.inaturalist.org/taxa/48550-Phoebis-sennae		
Ascia monuste	Ascia	Pierini	Pierinae	Pieridae	Papilionoidea	777784	Y	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/51536-Ascia-monuste		
Pieris rapae	Pieris	Pierini	Pierinae	Pieridae	Papilionoidea	188541	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/55626-Pieris-rapae		
Psara obscuralis	Psara	NA	Pyraustinae	Crambidae	Pyraloidea	117807	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/324627-Psara-obscuralis/browse_photos		
Archips cerasivorana	Archips	Archipini	Tortricinae	Tortricidae	Tortricoidea	117887	N	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/129576-Archips-cerasivorana		
Adoneta spinuloides	Adoneta	NA	Limacodinae	Limacodidae	Zygaenoidea	117614	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/212510-Adoneta-spinuloides		
Euclea delphinii	Euclea	NA	Limacodinae	Limacodidae	Zygaenoidea	117619	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/136548-Euclea-delphinii		
Euclea incisa	Euclea	NA	Limacodinae	Limacodidae	Zygaenoidea	117618	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/324665-Euclea-incisa		
Parasa chloris	Parasa	NA	Limacodinae	Limacodidae	Zygaenoidea	117622	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/207602-Parasa-chloris		
Parasa indetermina	Parasa	NA	Limacodinae	Limacodidae	Zygaenoidea	117625	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/153078-Parasa-indetermina		
Phobetron pithecium	Phobetron	NA	Limacodinae	Limacodidae	Zygaenoidea	117606	Y	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/122254-Phobetron-pithecium		
Episimus argutana	Episimus	Olethreutini	Olethreutinae	Tortricidae	Tortricoidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/357353-Episimus-argutana		
Caloptilia burgessiella	Caloptilia	NA	Gracillariinae	Gracillariidae	Gracillarioidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/215887-Caloptilia-burgessiella		
Anacampsis tristrigella	Anacampsis	Anacampsini	Anacampsinae	Gelechiidae	Gelechioidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/213500-Anacampsis-tristrigella		
Pseudosciaphilia duplex	Pseudosciaphilia	Olethreutini	Olethreutinae	Tortricidae	Tortricoidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/229147-Pseudosciaphila-duplex		
Caloptilia serotinella	Caloptilia	NA	Gracillariinae	Gracillariidae	Gracillarioidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/215899-Caloptilia-serotinella		
Anacampsis rhoifructella	Anacampsis	Anacampsini	Anacampsinae	Gelechiidae	Gelechioidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/213499-Anacampsis-rhoifructella		
Cenopis pettitana	Cenopis	Sparganothini	Tortricinae	Tortricidae	Tortricoidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/337467-Cenopis-pettitana		
Argyrotaenia juglandana	Argyrotaenia	Archipini	Tortricinae	Tortricidae	Tortricoidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/208119-Argyrotaenia-juglandana		
Rheumaptera prunivorata	Rheumaptera	Rheumapterini	Larentiinae	Geometridae	Geometroidea		N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/127016-Rheumaptera-prunivorata		
Yponomeuta cagnagel	Yponomeuta	NA	Yponomeutinae	Yponomeutidae	Yponomeutoidea		N	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/319551-Yponomeuta-cagnagella		
