"species","year","cell","juv_mean","juv_sd"
"Piranga_olivacea",1994,622,195.722333333333,5.53281151158788
"Piranga_rubra",2003,699,199.390333333333,6.34859753572924
"Polioptila_caerulea",2001,646,180.664833333333,6.82819649322674
"Polioptila_caerulea",2002,646,175.0355,8.51621947124116
"Polioptila_caerulea",2004,644,186.980833333333,2.79864932516201
"Polioptila_caerulea",2004,646,181.412166666667,8.77099996459651
"Polioptila_caerulea",2008,642,146.729833333333,8.31069719820238
"Protonotaria_citrea",2004,699,122.271833333333,1.28590392216464
"Protonotaria_citrea",2005,699,116.019666666667,0.79752903666028
"Quiscalus_quiscula",1997,567,171.108666666667,8.93540701210457
"Quiscalus_quiscula",2001,567,114.868833333333,5.15581151429634
"Sayornis_phoebe",1992,594,185.563833333333,5.75885862948044
"Sayornis_phoebe",1993,594,196.483,8.98167520092452
"Sayornis_phoebe",1994,594,180.560166666667,6.54159858578659
"Sayornis_phoebe",1995,595,167.821666666667,7.95992612776958
"Sayornis_phoebe",2001,622,197.410666666667,5.8832350764453
"Sayornis_phoebe",2003,622,159.512333333333,9.42123352658323
"Seiurus_aurocapilla",1989,534,189.426166666667,3.43581859927588
"Seiurus_aurocapilla",1989,595,199.815833333333,5.76287987349163
"Seiurus_aurocapilla",1990,534,190.971666666667,5.59396215792762
"Seiurus_aurocapilla",1991,534,196.507,1.84224047697249
"Seiurus_aurocapilla",1991,595,193.862833333333,8.58539283515386
"Seiurus_aurocapilla",1991,622,194.388166666667,7.31471650066743
"Seiurus_aurocapilla",1991,649,177.140333333333,9.23586433893638
"Seiurus_aurocapilla",1992,564,208.065833333333,9.01506394145564
"Seiurus_aurocapilla",1992,622,202.7555,7.01146060722308
"Seiurus_aurocapilla",1992,676,194.776,5.52599132253054
"Seiurus_aurocapilla",1993,622,184.495166666667,6.26478394614458
"Seiurus_aurocapilla",1993,676,190.2805,6.92474873966687
"Seiurus_aurocapilla",1994,622,185.087333333333,4.21477562998998
"Seiurus_aurocapilla",1994,646,193.016833333333,3.36785397233194
"Seiurus_aurocapilla",1994,676,186.444833333333,2.06551067808483
"Seiurus_aurocapilla",1995,621,191.446833333333,9.05136239279755
"Seiurus_aurocapilla",1995,646,196.127333333333,8.70605644319062
