"jd_wk","year","lat_bin","lon_bin","day_count"
28,2015,29,-95,1
28,2015,29,-83,6
28,2015,29,-81,4
28,2015,31,-97,1
28,2015,31,-95,1
28,2015,33,-119,1
28,2015,33,-117,7
28,2015,33,-111,3
28,2015,33,-97,2
28,2015,35,-119,6
28,2015,35,-93,1
28,2015,37,-123,7
28,2015,37,-121,4
28,2015,39,-123,2
28,2016,-41,147,2
28,2016,-41,175,1
28,2016,-35,173,1
28,2016,-33,149,1
28,2016,-27,31,6
28,2016,-3,37,1
28,2016,9,-79,1
28,2016,11,-85,10
28,2016,13,-85,2
28,2016,13,99,6
28,2016,17,-93,4
28,2016,17,-91,1
28,2016,19,-105,1
28,2016,19,-99,6
28,2016,19,-95,4
28,2016,19,-89,2
28,2016,21,-105,12
28,2016,21,-103,1
28,2016,21,-101,3
28,2016,21,-99,3
28,2016,23,-109,1
28,2016,23,-107,3
28,2016,23,-105,1
28,2016,23,-101,3
28,2016,23,-99,2
28,2016,23,121,2
28,2016,25,-107,1
28,2016,25,-97,2
28,2016,25,-81,1
28,2016,27,-101,1
28,2016,27,-97,7
28,2016,27,-81,7
28,2016,29,-97,1
28,2016,29,-95,2
28,2016,29,-83,2
28,2016,29,-81,4
28,2016,31,-101,1
28,2016,31,-97,9
28,2016,31,-95,1
28,2016,33,-119,1
28,2016,33,-97,35
28,2016,33,-95,2
28,2016,33,35,1
28,2016,35,-121,3
28,2016,35,-119,6
28,2016,37,-123,3
28,2016,41,-81,1
28,2017,-37,175,1
28,2017,-33,23,2
28,2017,-29,29,1
28,2017,-25,-47,1
28,2017,-19,33,1
28,2017,-13,131,1
28,2017,-9,115,1
28,2017,7,79,1
28,2017,9,-83,4
28,2017,9,-81,3
28,2017,9,-79,3
28,2017,15,-97,13
28,2017,15,-93,1
28,2017,15,101,2
28,2017,17,-93,6
28,2017,19,-105,3
28,2017,19,-101,4
28,2017,19,-99,12
28,2017,19,-97,9
28,2017,19,-75,2
28,2017,19,-69,1
28,2017,19,-67,1
28,2017,19,-65,1
28,2017,19,-63,1
28,2017,21,-105,14
28,2017,21,-103,6
28,2017,21,-101,1
28,2017,21,-99,2
28,2017,21,-87,1
28,2017,21,-77,3
28,2017,23,-111,1
28,2017,23,-109,1
28,2017,23,-107,15
28,2017,23,-99,3
28,2017,23,113,2
28,2017,23,115,1
28,2017,23,121,1
28,2017,25,-111,1
28,2017,25,-101,2
28,2017,25,-97,4
28,2017,25,-81,7
28,2017,27,-109,1
28,2017,27,-99,2
28,2017,27,-97,13
28,2017,27,-83,6
28,2017,27,-81,4
28,2017,29,-99,2
28,2017,29,-97,2
28,2017,29,-95,3
28,2017,29,-91,1
