"taxon.name","class"
"Stenoderus suturalis","Insecta"
"Lepidium coronopus","Magnoliopsida"
"Rhytidoponera mayri","Insecta"
"Porphyrio melanotus","Aves"
"Ranoidea moorei","Amphibia"
"Putterlickia pyracantha","Magnoliopsida"
"Nassella trichotoma","Liliopsida"
"Verbena rigida","Magnoliopsida"
"Automolis meteus",NA
"Geranium molle","Magnoliopsida"
"Aphloia theiformis","Magnoliopsida"
"Hibbertia coriacea","Magnoliopsida"
"Pandanus platyphyllus",NA
"Veronica persica","Magnoliopsida"
"Polemaetus bellicosus","Aves"
"Histurgops ruficauda","Aves"
"Lissotis melanogaster","Aves"
"Syncerus caffer","Mammalia"
"Papio anubis","Mammalia"
"Crocuta crocuta","Mammalia"
"Vanellus armatus","Aves"
"Opistophthalmus pallipes","Arachnida"
"Melianthus comosus","Magnoliopsida"
"Colius colius","Aves"
"Chersina angulata","Reptilia"
"Romulea rosea","Liliopsida"
"Polygala scabra","Magnoliopsida"
"Hermannia althaeifolia","Magnoliopsida"
"Microhodotermes viator","Insecta"
"Berkheya armata","Magnoliopsida"
"Euryops linifolius","Magnoliopsida"
"Drimia exuviata","Liliopsida"
"Pterygodium inversum",NA
"Chrysocoma coma-aurea","Magnoliopsida"
"Psammodes gibbus","Insecta"
"Cotula turbinata","Magnoliopsida"
"Cyphia phyteuma","Magnoliopsida"
"Ornithogalum thyrsoides","Liliopsida"
"Holothrix villosa","Liliopsida"
"Cyanella lutea","Liliopsida"
"Moraea gawleri","Liliopsida"
"Watsonia marginata","Liliopsida"
"Sympetrum fonscolombii","Insecta"
"Cisticola subruficapilla","Aves"
"Lessertia diffusa","Magnoliopsida"
"Cissampelos capensis","Magnoliopsida"
"Pterygodium volucris","Liliopsida"
"Viscum capense","Magnoliopsida"
"Othonna ciliata","Magnoliopsida"
"Arctotis acaulis","Magnoliopsida"
"Drosanthemum striatum","Magnoliopsida"
"Silene undulata","Magnoliopsida"
"Nemesia barbata","Magnoliopsida"
"Lathyrus odoratus","Magnoliopsida"
"Scantius forsteri","Insecta"
"Leonotis nepetifolia","Magnoliopsida"
"Dysphania pumilio","Magnoliopsida"
"Ceratopachys nigricornis",NA
"Camponotus rufoglaucus","Insecta"
"Erica placentiflora","Magnoliopsida"
"Erica coacervata",NA
"Erica oresigena",NA
"Erica atrovinosa",NA
"Erica cristiflora","Magnoliopsida"
"Erica sphaerocephala",NA
"Erica lateralis","Magnoliopsida"
"Erica daphniflora","Magnoliopsida"
"Termitomyces umkowaani","Agaricomycetes"
"Maytenus oleoides","Magnoliopsida"
"Merops pusillus","Aves"
"Thelymitra longifolia","Liliopsida"
"Prasophyllum colensoi","Liliopsida"
"Thelymitra nervosa","Liliopsida"
"Eupeodes corollae","Insecta"
"Pelargonium cordifolium","Magnoliopsida"
"Todea barbara","Polypodiopsida"
"Promeces longipes","Insecta"
"Heliophila glauca","Magnoliopsida"
"Stethaspis longicornis","Insecta"
"Aristea ecklonii","Liliopsida"
"Mirafra africana","Aves"
"Tringa glareola","Aves"
"Buphagus africanus","Aves"
"Gallinula chloropus","Aves"
"Leptoptilos crumenifer","Aves"
"Eurocephalus ruppelli","Aves"
"Agapornis fischeri","Aves"
"Threskiornis aethiopicus","Aves"
"Helichrysum patulum","Magnoliopsida"
"Bolboschoenus fluviatilis","Liliopsida"
"Eulophia parviflora","Liliopsida"
"Diceros bicornis","Mammalia"
"Bernieria madagascariensis","Aves"
"Euchrysops malathana","Insecta"
"Cyclocybe parasitica","Agaricomycetes"
"Hirundo smithii","Aves"
"Hyperolius pusillus","Amphibia"
"Diminovula culmen","Gastropoda"
