"user.login","all_obs","shannonH","shannonE"
"aefisher",66,1.4291300128261,0.282291987311418
"aegrant",25,1.93614700983095,0.382441612888265
"aekstrom97",2,0,0
"aellis",85,1.19252585130643,0.235556240135092
"aelliso7",1,0,0
"aelmore",32,1.95059551190817,0.385295584415309
"aemelton",245,1.10578856548255,0.218423270727501
"aemieles",17,1.12178531357477,0.221583062887028
"aepafrica",177,0.447252854715506,0.0883445845061185
"aepetro2",8,1.49417513828931,0.295140165970559
"aepigmenio",374,1.5444458054648,0.305069987899342
"aeranis",55,1.50964659976193,0.298196199757913
"aerobird",1408,0.749475130805372,0.148041691250437
"aespino23",1,0,0
"aestokes",24,1.67101295694574,0.330070437403054
"aeterno",191,1.77833949026289,0.351270342316834
"aethanb",15,1.80650716526167,0.356834223056855
"aevankeuren",36,0.943073911501638,0.186282707850279
"aezammit",297,1.44003375313183,0.28444577212624
"aezon",2,0,0
"afaulkner",96,1.9797977069999,0.391063810967349
"afbv",28,1.28733717624764,0.254284051528793
"afc10",25,1.68053426597088,0.331951154498343
"afdezrincon",29,1.35733995504522,0.268111501352629
"afenn",6,0,0
"aferreyros",3,1.09861228866811,0.217005761176051
"afigueroa",115,2.32966566252201,0.460172233276397
"afitz",88,1.58793606835019,0.313660495850634
"afluharty",77,1.72372768392162,0.340483027513854
"afnoesta",90,0.71974780054304,0.142169736241513
"afroherpkeeper",20,1.75242367526484,0.34615126507898
"afruci",3,0.636514168294813,0.125728833561122
"afsj",63,1.13186228613063,0.22357353861936
"afsto",5,0.500402423538188,0.0988430676903251
"afstraight",8,1.2130075659799,0.239601934989186
"afterxander",1,0,0
"afuller19",2,0,0
"agaggino",89,1.55351132016416,0.306860673237635
"agama-girl",322,1.60946158358654,0.317912369661578
"aganieszka",1,0,0
"aganse",2918,0.877298480159467,0.173290273947692
"agaporni",31,1.31401345853223,0.259553341707161
"agave6_tomwalker",866,1.42571984619611,0.281618386794738
"agboola",96,1.665817404114,0.329044174627175
"agdunstan",4,1.38629436111989,0.273830782844784
"ageo",87,0.62341606612656,0.123141602687864
"aggie_wildlifer",746,1.74123234759532,0.34394067395002
"aggierob",1,0,0
"aggntalla",4,1.03972077083992,0.205373087133588
"agjackson1",9,0,0
"aglesing",18,1.53164106772115,0.302540704466613
"aglevy",1,0,0
"aglo",2,0.693147180559945,0.136915391422392
"agmcmll",495,1.06845943742784,0.211049754218441
"agneka",1,0,0
"agnes26",1,0,0
"agnovell",15,1.70753917413507,0.337285357212173
"agoerlt",169,1.63445547925629,0.322849342796245
"agonzalez393",319,1.80318920769151,0.35617883633354
"agonzalo",2439,0.947963296213687,0.187248494108147
"agoodhue",12,1.58902691517397,0.313875967721613
"agrant77",3,1.09861228866811,0.217005761176051
"agriffin6",9,1.67698777432242,0.331250626088442
"agroecologo",164,1.34578766852844,0.265829611049056
"agsqwerty",89,1.78394393036993,0.35237737143342
"agteach97",55,1.17587692902239,0.232267625862092
"aguerrero94",5,0,0
"agufana",3,0.636514168294813,0.125728833561122
"agugn",1,0,0
"aguilareal",25,0.759295102922524,0.149981402416961
"aguilarl22",2,0.693147180559945,0.136915391422392
"aguirrdan",15,1.45948187386908,0.28828730410942
"aguirre_c",16,1.24401669579289,0.245727080218203
"agunchos",2,0.693147180559945,0.136915391422392
"agustina_de_leon22",5,0.500402423538188,0.0988430676903251
"agustina8",1,0,0
"agustinavila",16,1.55958115625988,0.308059630700382
"agustinbosqueasalvo",2,0.693147180559945,0.136915391422392
"agustincortes",1,0,0
"agustnxoconostle",2,0.693147180559945,0.136915391422392
"ahaislip",470,2.12584152064773,0.419911430161671
"ahalbroo",25,1.49693973787463,0.295686249464753
"ahan88",360,1.64536315616874,0.325003905197797
"ahawleyla",98,1.60877567538815,0.317776884165718
"ahazlett",32,1.81261431116742,0.358040550220278
"ahdae916",10,2.02532622077007,0.400056928819588
"ahempel",10,1.08889997534522,0.215087315545001
"aheuvelm",18,0.556646903582107,0.109952879886836
"ahimsavet",18,1.05066527659281,0.207534924231262
"ahiroyuki",18,1.19066067564971,0.235187817291758
"ahmedmujcinovic",667,1.85687986318,0.366784198828117
"ahna_knudsen",18,1.39898642791231,0.276337810704928
"aholland08",2,0.693147180559945,0.136915391422392
"ahsttraotee",70,1.81585021099601,0.358679728311252
"ahubbard00",12,1.28605733687438,0.254031248496966
"ahuereca",1166,2.06778755121885,0.408444194672728
"ahuffaz",4,1.03972077083992,0.205373087133588
"ahunt01",7,0.410116318288409,0.0810091100735737
"ai_gsc_sg",6,0.636514168294813,0.125728833561122
"aibanezl",4,1.03972077083992,0.205373087133588
"aic0pley",8,1.2130075659799,0.239601934989186
"aidan18",4,1.03972077083992,0.205373087133588
"aidan42",2,0,0
"aidanangus",7,1.07899220787758,0.213130262412565
"aidancampbell",10,1.497866136777,0.295869238405468
"aidansullivan",47,1.8503873487804,0.365501750922004
"aidenn",1,0,0
"aidruck",1,0,0
"aigner",1083,0.848135575923733,0.167529808406703
"aika1",14,1.29636115979106,0.256066533335958
"ailanna",13,0.937155853065701,0.185113730597047
"aileen9",2,0.693147180559945,0.136915391422392
"ailfegiggles",783,1.23306874780995,0.243564563186618
"ailinadawn",1,0,0
"ailton",2,0.693147180559945,0.136915391422392
"aimeee",33,0,0
