"user.login","all_obs","shannonH","shannonE"
"aaron393",1,0,0
"aaron396",12,0.836988216785836,0.260025009451897
"aaron400",2,0.693147180559945,0.215338279036697
"aaron405",1,0,0
"aaron422",3,0.636514168294813,0.197744244551862
"aaron428",1,0,0
"aaron432",2,0,0
"aaron433",1,0,0
"aaron434",20,1.07907742476732,0.335234250551277
"aaron442",1,0,0
"aaron443",13,1.07201696856319,0.333040796504503
"aaron447",2,0.693147180559945,0.215338279036697
"aaron47",1,0,0
"aaron489",3,1.09861228866811,0.341303097242993
"aaron567",6,0,0
"aaron584233",1,0,0
"aaronalex",7,0.955699891112534,0.296904864651517
"aaronanderson",1,0,0
"aaronarias21",1,0,0
"aaronau1",13,1.5649572502428,0.4861813053341
"aaronaustinbdr",12,1.7045514452673,0.529548680349324
"aaronaustinmiller",1,0,0
"aaronb12",1,0,0
"aaronb2001",1,0,0
"aaronbalam_tutor",47,1.59693548121969,0.49611590135978
"aaronbarrett",1,0,0
"aaronbeamish",3,0.636514168294813,0.197744244551862
"aaronbernstein",3,1.09861228866811,0.341303097242993
"aaronblasco",1,0,0
"aaronboone",25,1.17966801068413,0.366484473110244
"aaronboonstra",3,0,0
"aaronbryant",1,0,0
"aaronca",40,1.76580356846576,0.548577722328901
"aaroncarlson",203,1.6334029827177,0.507445167688187
"aaroncda",1,0,0
"aaronchamberlain",16,1.47293775868988,0.45759384295298
"aarondamon",6,1.32966134885476,0.413082523588558
"aarondavis",1,0,0
"aarondelaney",3,0.636514168294813,0.197744244551862
"aarondinham",1,0,0
"aarondodd210",1,0,0
"aarondruery",1,0,0
"aaronerlandson",3,0.636514168294813,0.197744244551862
"aaronesquibel",1,0,0
"aaronevans",2,0.693147180559945,0.215338279036697
"aaronf1",5,1.6094379124341,0.5
"aaronfk",1,0,0
"aaronfm",1,0,0
"aarongoh",10,1.74806734854609,0.543067655807339
"aarongraftonjohnson",8,0.735621939758795,0.228533804900323
"aaronh",10,1.47080847632211,0.456932344192661
"aaronhanson",4,1.03972077083992,0.323007418555045
"aaronhermiller",1,0,0
"aaroniemma",17,1.50688334886411,0.468139633477726
"aaroningram",2,0.693147180559945,0.215338279036697
"aaronjack",1,0,0
"aaronjennings",3,0.636514168294813,0.197744244551862
"aaronjohnson1",4,1.38629436111989,0.430676558073393
"aaronjoliver",5,1.33217904021012,0.413864688385321
"aaronjones",1,0,0
"aaronjpilejr",1,0,0
"aaronjudah",1,0,0
"aaronkampe",1,0,0
"aaronkiley",12,0.867563228481461,0.269523670897427
"aaronlaver",3,1.09861228866811,0.341303097242993
"aaronleystra",1,0,0
"aaronliston",11,1.2945451658449,0.40217306795235
"aaronloenhorst",81,1.26390783987754,0.392655047489846
"aaronm0719",1,0,0
"aaronmager",7,1.27703425946614,0.396732999017888
"aaronmc",4,0.562335144618808,0.174699235141149
"aaronmcbride",2,0.693147180559945,0.215338279036697
"aaronmcl193",3,1.09861228866811,0.341303097242993
"aaronmcmillan",4,0.562335144618808,0.174699235141149
"aaronmeijer",91,0.823899458188314,0.255958757968568
"aaronmiller1",1,0,0
"aaronmilligan",1,0,0
"aaronmoore",1,0,0
"aaronmoslow",7,0.410116318288409,0.127409797892779
"aaronmz",19,1.13264752848473,0.351876738995082
"aaronnelson",1,0,0
"aaronnewchurchp",1,0,0
"aaronodonovan",2,0.693147180559945,0.215338279036697
"aaronolivarria",1,0,0
"aaronoswald",1,0,0
"aaronpacanovsky",5,1.33217904021012,0.413864688385321
"aaronpeters",9,0.936888307539016,0.29106071762721
"aaronpf",1,0,0
"aaronphillips_paleo",3,0,0
"aaronpu",1,0,0
"aaronr",385,1.65421798558841,0.513911711911453
"aaronramon",1,0,0
"aaronrhodes",4,0.562335144618808,0.174699235141149
"aaronruben",77,1.43384631120963,0.44544940197199
"aaronrussell",1,0,0
"aaronschoofs",1,0,0
"aaronschultz",1,0,0
"aaronshawphd",1,0,0
"aaronsherkow",1,0,0
"aaronsizer",8,1.32088834314932,0.410357036125619
"aaronstack",9,1.31078367809971,0.407217845426947
"aaronstehlik",1,0,0
"aaronstiles",10,1.08889997534522,0.338285797461544
"aaronswafford",1,0,0
"aaront20",2,0.693147180559945,0.215338279036697
"aarontam",1,0,0
"aaronthav",2,0.693147180559945,0.215338279036697
"aaronthearcher",2,0.693147180559945,0.215338279036697
"aarontisinger",2,0.693147180559945,0.215338279036697
"aarontremper",2,0.693147180559945,0.215338279036697
"aarontrowland",6,0.636514168294813,0.197744244551862
"aaronvl",1,0,0
"aaronwalker",1,0,0
"aaronware",1,0,0
"aaronwarren",6,0.867563228481461,0.269523670897427
"aaronweber",1,0,0
"aaronwells",1,0,0
"aaronwilhoit",1,0,0
"aaronwilson",1,0,0
"aaronwintersmith",3,1.09861228866811,0.341303097242993
"aaronwixom",1,0,0
"aaronwnola",3,1.09861228866811,0.341303097242993
"aaronzal",12,1.51710639706103,0.471315601968941
"aaronzammit",1,0,0
"aaroraj",4,1.03972077083992,0.323007418555045
"aarredo1",2,0.693147180559945,0.215338279036697
"aarroyo",21,1.67440893725071,0.520184383726351
"aaryamansinghal",5,1.05492016798614,0.327729376770643
"aase49",7,1.15374194270109,0.358430087233431
"aashay",1,0,0
"aashimadogra",1,0,0
"aashna_tapia",2,0.693147180559945,0.215338279036697
"aasofiar",1,0,0
"aasthapatel1",1,0,0
"aastone",1,0,0
"aasuarezh",3,0.636514168294813,0.197744244551862
"aathiraperinchery",2,0,0
"aatish",1,0,0
"aatschaftenaar",19,0.336495757583516,0.10453828475887
"aatt",1,0,0
"aaubrey",1,0,0
"aauger",1,0,0
"aavais",4,1.38629436111989,0.430676558073393
"aavarma",1,0,0
"aayanka",1,0,0
"aaymairfan1",7,1.27703425946614,0.396732999017888
"aayushi",2,0.693147180559945,0.215338279036697
"aazak127",37,1.10582391043647,0.343543513512748
"ab16201",1,0,0
"ab21",3,0.636514168294813,0.197744244551862
"ab23",1,0,0
"ab636348",1,0,0
"ab76",1,0,0
"ab83",4,0.562335144618808,0.174699235141149
"ab9",1,0,0
"ababeisimona",1,0,0
"abachi",2,0,0
"abacinski",1,0,0
"abaconthief",3,1.09861228866811,0.341303097242993
"abadertscher",1,0,0
"abadir_george_901",1,0,0
"abadon1",1,0,0
"abadoo",47,1.78648763939811,0.555003590258491
"abagade",1,0,0
"abagofticks",3,0.636514168294813,0.197744244551862
"abahmann",21,0.866059870249309,0.26905662640303
"abailey15",1,0,0
"abaker_18",5,0.673011667009257,0.209082830039526
"abalay",15,1.58678470752805,0.492962386206066
"abaldwin3254",2,0.693147180559945,0.215338279036697
"aballam",34,1.6077060115838,0.499461954749257
"aballance",1,0,0
"aballou",2,0.693147180559945,0.215338279036697
"abalonequeen",9,0.936888307539016,0.29106071762721
"abankes",2,0.693147180559945,0.215338279036697
"abanks22",2,0.693147180559945,0.215338279036697
"abanx",9,0.964962923007428,0.299782587309636
"abarbarian",1,0,0
"abard",4,1.03972077083992,0.323007418555045
"abarhorst22",4,1.38629436111989,0.430676558073393
"abarma",1,0,0
"abarnaud",1,0,0
"abarnett",4,1.03972077083992,0.323007418555045
"abarrett",2,0.693147180559945,0.215338279036697
"abarros95",4,1.03972077083992,0.323007418555045
"abarton424",3,1.09861228866811,0.341303097242993
"abartoni",3,0.636514168294813,0.197744244551862
"abasili",1,0,0
"abass1",10,1.35923670066501,0.422270623229357
"abast",1,0,0
"abaucke",2,0,0
"abaum",3,0.636514168294813,0.197744244551862
"abay22",2,0.693147180559945,0.215338279036697
"abazaba667",4,0,0
"abb93",3,0,0
"abbaleno",4,0.562335144618808,0.174699235141149
"abbaorganics",7,1.07899220787758,0.335207776435975
"abbaschild2",1,0,0
"abbecadabra",1,0,0
"abbesh",1,0,0
"abbesshildegard",2,0,0
"abbey04",2,0,0
"abbey123",1,0,0
"abbey132",5,0.950270539233235,0.295218141654204
"abbey19",5,0.500402423538188,0.155458753541286
"abbey24",1,0,0
"abbey25",6,0,0
"abbey26",2,0,0
"abbey5",1,0,0
"abbey509",3,0,0
"abbeybowser",1,0,0
"abbeybrowne",4,1.03972077083992,0.323007418555045
"abbeydowd",4,0.562335144618808,0.174699235141149
"abbeyfisher",3,1.09861228866811,0.341303097242993
"abbeygonzales",17,1.6442107102094,0.510802777015086
"abbeykdabra",2,0,0
"abbeymarsh",1,0,0
"abbeynovia",4,1.03972077083992,0.323007418555045
"abbeynturer",4,0,0
"abbeypruden",7,1.74786809746676,0.54300575497917
"abbeyroadllr",7,1.47507631105469,0.458258221599801
"abbeysand",2,0.693147180559945,0.215338279036697
"abbeyt",1,0,0
"abbeyzane",1,0,0
"abbi1",1,0,0
"abbi14",1,0,0
"abbie_brockbank",1,0,0
"abbie19",1,0,0
"abbie24",2,0.693147180559945,0.215338279036697
"abbie26",5,1.05492016798614,0.327729376770643
"abbiebartlett",1,0,0
"abbiebutkovich",2,0,0
"abbiec",1,0,0
"abbiecurtis",3,1.09861228866811,0.341303097242993
"abbieemma",2,0.693147180559945,0.215338279036697
"abbiegalestrickland",1,0,0
"abbiepinckney",2,0,0
"abbiesmart",2,0.693147180559945,0.215338279036697
"abbiesorge",48,1.85389805092923,0.575945812077151
"abbiey",1,0,0
"abbih",5,1.05492016798614,0.327729376770643
"abbitrash",2,0.693147180559945,0.215338279036697
"abbogart52",1,0,0
"abbott007",4,0.562335144618808,0.174699235141149
"abbs",1,0,0
"abbster65",2,0.693147180559945,0.215338279036697
"abbundance",1,0,0
"abby-f",2,0,0
"abby-k",21,0.909925047153752,0.282684109813714
"abby-pina",2,0.693147180559945,0.215338279036697
"abby_b100",1,0,0
"abby_cat_17",1,0,0
"abby_gm",3,1.09861228866811,0.341303097242993
"abby01",1,0,0
"abby112",1,0,0
"abby114",1,0,0
"abby123",3,0.636514168294813,0.197744244551862
"abby134",1,0,0
"abby17217",7,1.27703425946614,0.396732999017888
"abby182",1,0,0
"abby2021",1,0,0
"abby29",23,0.462036909466457,0.143539836453733
"abby48",4,0,0
"abby77",2,0.693147180559945,0.215338279036697
"abby810128",1,0,0
"abby88",2,0,0
"abby9907",1,0,0
"abbyabby",1,0,0
"abbyachille",3,1.09861228866811,0.341303097242993
"abbyamones",1,0,0
"abbyann",2,0,0
"abbyarroyo",5,1.33217904021012,0.413864688385321
"abbybaker1",3,1.09861228866811,0.341303097242993
"abbybberhe",1,0,0
"abbybenson",5,0.673011667009257,0.209082830039526
"abbyc109",2,0.693147180559945,0.215338279036697
"abbychan112",2,0.693147180559945,0.215338279036697
"abbycoker",2,0,0
"abbycolihan",1,0,0
"abbycook",1,0,0
"abbyd123",1,0,0
"abbyde",1,0,0
"abbydem",3,1.09861228866811,0.341303097242993
"abbydgreenwood",9,1.88915916375402,0.586900292691898
"abbydoll",6,1.242453324894,0.385989827658193
"abbye1",3,0,0
"abbyenglert",4,0.562335144618808,0.174699235141149
"abbyestelle",2,0.693147180559945,0.215338279036697
"abbyfavis1",2,0,0
"abbyfletcher",3,1.09861228866811,0.341303097242993
"abbygailfike",1,0,0
